,BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,FloorNo,TotalFloor
0,2,10000,1100,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
1,2,17000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
2,2,10000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
3,2,7500,850,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,2
4,2,7000,600,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,1
5,2,10000,700,Super Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,Ground,4
6,1,5000,250,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,1,2
7,2,10000,1000,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
8,1,5000,400,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,1
9,1,6500,250,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Owner,1,4
10,1,5500,375,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,2
11,3,8500,900,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,Ground,2
12,2,6000,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
13,2,10000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
14,2,11000,2000,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
15,2,6000,660,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
16,2,7900,650,Carpet Area,Kolkata,Unfurnished,Family,1,Contact Owner,1,2
17,2,9000,400,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,2,3
18,1,4000,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,4
19,3,6500,1600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
20,1,8000,400,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,1,2
21,2,7000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
22,1,5300,355,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,1
23,2,6000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
24,2,8500,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,4,5
25,2,12500,850,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
26,1,7500,350,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
27,2,15000,900,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
28,2,6000,550,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
29,2,5000,500,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
30,2,15000,850,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
31,2,12500,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,2,2
32,2,7000,630,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,3
33,1,10000,270,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
34,2,7200,630,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
35,3,12000,1500,Carpet Area,Kolkata,Furnished,Bachelors,2,Contact Owner,Ground,2
36,1,5000,600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,5
37,2,8500,700,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,4,14
38,1,6000,300,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
39,2,10000,1300,Super Area,Kolkata,Semi-Furnished,Family,2,Contact Owner,Ground,1
40,2,4600,400,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,3,3
41,2,12000,650,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner,Ground,1
42,3,15000,1068,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
43,1,7500,150,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,1
44,1,7500,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2,2
45,2,5000,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
46,2,15000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
47,2,11000,900,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,5,5
48,1,7000,600,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
49,2,6000,1200,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
50,2,6000,1200,Super Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,2,2
51,2,7000,650,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
52,2,8500,720,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,4,4
53,1,5000,300,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,3
54,2,10000,700,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,7,8
55,1,3500,250,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,4
56,2,8000,1100,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,3
57,1,5000,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
58,2,7500,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
59,2,6500,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
60,1,7500,680,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
61,1,7500,680,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
62,2,16000,850,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,1,4
63,2,16000,850,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,1,2
64,2,6500,700,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
65,2,12500,950,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
66,2,5500,500,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
67,1,5000,450,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
68,2,6500,700,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
69,1,8000,500,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
70,3,14500,1800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
71,1,8200,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
72,2,15000,480,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,Ground,3
73,2,6700,800,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
74,1,10000,435,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
75,2,7000,700,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,Ground,2
76,2,6500,450,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
77,2,8500,550,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,2,3
78,2,18000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,Ground,4
79,2,12000,550,Carpet Area,Kolkata,Semi-Furnished,Family,2,Contact Owner,Ground,2
80,1,9000,600,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2,4
81,1,6000,500,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
82,1,5000,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
83,2,12000,1200,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1,3
84,2,10000,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
85,4,18000,1200,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner,1,2
86,2,15000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,1,2
87,1,6000,600,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8,5
88,2,14000,700,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
89,3,8000,750,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner,Ground,2
90,2,8000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
91,1,6000,220,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,2
